paper_id,title,authors,year,venue,arxiv_or_doi_url,official_code_url,category,sub_category,one_sentence_contribution,technical_summary,key_equations_or_ideas,inference_relevance,hardware_or_system_relevance,limitations,citation_status,last_verified_date,document_link
P-001,Attention Is All You Need,"Vaswani, Ashish; Shazeer, Noam; Parmar, Niki; Uszkoreit, Jakob; Jones, Llion; Gomez, Aidan N.; Kaiser, Lukasz; Polosukhin, Illia",2017,NeurIPS 2017,https://arxiv.org/abs/1706.03762,https://github.com/tensorflow/tensor2tensor,Transformer Inference,架构基础,提出完全基于注意力机制的 Transformer 架构，去除循环与卷积结构。,以 scaled dot-product attention 与 multi-head attention 为核心，配合位置编码、残差连接与逐位置前馈网络，构成 encoder-decoder 架构；自注意力使序列内任意两位置的路径长度为常数，训练可高度并行。,"Attention(Q,K,V)=softmax(QK^T/sqrt(d_k))V；multi-head 拆分表示子空间；正弦位置编码",定义了当代 LLM 推理的基本计算图；decoder 的自回归特性直接导出 KV cache 的必要性，是理解 prefill/decode 两阶段划分的起点。,attention 与 FFN 的矩阵乘构成推理算力主体；multi-head 结构是后续 MQA/GQA/MLA 等 KV 压缩变体的基础。,原文面向机器翻译的训练任务，未讨论自回归推理的缓存管理、批处理调度或服务化问题；注意力对序列长度的二次复杂度在长上下文推理中成为主要瓶颈。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-002,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,"Dao, Tri; Fu, Daniel Y.; Ermon, Stefano; Rudra, Atri; Ré, Christopher",2022,NeurIPS 2022,https://arxiv.org/abs/2205.14135,https://github.com/Dao-AILab/flash-attention,Attention Optimization,IO-aware kernel,通过分块与重计算避免将完整注意力矩阵写入 HBM，在不改变数学结果的前提下降低注意力的内存读写量。,将 Q/K/V 分块载入片上 SRAM，使用在线 softmax 逐块累积输出，避免物化 N×N 注意力矩阵；反向传播通过重计算换取显存，属于精确（非近似）注意力。,online softmax 的增量归一化；分块 tiling；以 HBM 访问量而非 FLOP 数作为优化目标,显著降低长序列 prefill 阶段的显存占用与带宽压力；是当代推理引擎注意力实现的事实基线。,核心论点是 GPU 上 SRAM 与 HBM 的带宽/容量差异主导注意力性能，直接支撑「推理常为 memory-bound」这一判断。,收益取决于具体 GPU 的 SRAM 容量与带宽比，跨硬件不可直接外推；论文实验以训练与前向为主，decode 阶段单 token 场景的收益特征与 prefill 不同。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-003,Orca: A Distributed Serving System for Transformer-Based Generative Models,"Yu, Gyeong-In; Jeong, Joo Seong; Kim, Geon-Woo; Kim, Soojeong; Chun, Byung-Gon",2022,OSDI 2022,https://www.usenix.org/conference/osdi22/presentation/yu,待核实,Serving and Scheduling,iteration-level scheduling,提出迭代级调度与 selective batching，使请求可在生成过程中动态进出批次，而非等待整批完成。,传统 request-level 批处理需等待批内最长请求结束，造成算力闲置；Orca 在每次生成迭代后重新组批，已完成请求立即离开、新请求立即加入，并对不同算子选择性地应用批处理以适配变长序列。,iteration-level scheduling；selective batching；变长序列下 attention 与非 attention 算子的差异化处理,continuous batching 的原始系统化表述，是当代几乎所有 LLM serving 引擎调度器的直接思想来源。,通过提高加速器占用率改善吞吐；同时引入了吞吐与 tail latency 之间的调度权衡。,论文未开源官方实现；实验规模与模型代际早于当前主流 LLM；未系统处理 KV cache 的显存碎片问题（该问题由后续 PagedAttention 工作解决）。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
P-004,Efficient Memory Management for Large Language Model Serving with PagedAttention,"Kwon, Woosuk; Li, Zhuohan; Zhuang, Siyuan; Sheng, Ying; Zheng, Lianmin; Yu, Cody Hao; Gonzalez, Joseph E.; Zhang, Hao; Stoica, Ion",2023,SOSP 2023,https://arxiv.org/abs/2309.06180,https://github.com/vllm-project/vllm,KV Cache,内存管理,借鉴操作系统虚拟内存分页思想，以固定大小 block 管理 KV cache，消除内部与外部碎片并支持跨请求共享。,将每个序列的 KV cache 切分为固定 token 数的 block，通过 block table 建立逻辑到物理块的映射；块可按需分配、可在请求间共享（如共同前缀），并支持 copy-on-write；论文同时给出 vLLM 系统实现。,逻辑块到物理块的间接映射；copy-on-write 共享；碎片来源分解为内部碎片、外部碎片与预留浪费,把 KV cache 从「按最大长度预留的连续张量」变成可精细调度的系统资源，直接提升可并发请求数，是 prefix caching 与 KV offload 的基础设施。,显存容量是 LLM serving 并发度的硬约束；本文的收益来源是提高显存有效利用率而非提升算力。,分页引入间接寻址与 block 粒度带来的量化开销；最优 block size 依赖 workload；论文的收益幅度依赖于基线系统的预留策略，跨系统比较需谨慎。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-005,Fast Inference from Transformers via Speculative Decoding,"Leviathan, Yaniv; Kalman, Matan; Matias, Yossi",2023,ICML 2023,https://arxiv.org/abs/2211.17192,待核实,Speculative Decoding,draft-verify,用小模型批量提议若干 token、大模型一次前向并行验证，在保持目标模型输出分布不变的前提下减少大模型前向次数。,draft 模型自回归生成 k 个候选 token，target 模型对这 k+1 个位置并行计算 logits；通过修改的拒绝采样规则接受前缀并在拒绝处重采样，使最终输出分布与直接从 target 采样一致。,修改的拒绝采样保证分布无偏；期望加速与接受率 α 及 draft 开销的关系,针对 decode 阶段 memory-bound 特性：一次前向验证多个 token 可摊薄权重读取成本，是降低 TPOT 的主要算法手段之一。,收益依赖于 target 模型前向的 batch 维度是否仍有空闲算力；在大 batch、算力已饱和的服务场景下收益可能显著缩小甚至为负。,需要额外的 draft 模型（显存与工程成本）；接受率随任务分布变化大；与 continuous batching 共存时调度复杂度上升；论文未开源官方实现。,待核实,2026-08-10,待创建
P-006,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,"Dao, Tri",2024,ICLR 2024,https://arxiv.org/abs/2307.08691,https://github.com/Dao-AILab/flash-attention,Attention Optimization,kernel 并行划分,在 FlashAttention 的 IO 感知分块之上重新划分并行度与 warp 内工作，把注意力 kernel 的 GPU 占用率与非 matmul 开销一并改善。,FlashAttention 已经把注意力从「物化 N×N 矩阵」变成「分块流式累积」，但其并行划分仍以 batch×head 为主，在长序列、小 batch 的场景下 SM 无法填满。本文把并行维度扩展到序列维、调整循环顺序，并重新分配 warp 之间的工作以减少shared memory 往返，同时削减 online softmax 里的非 matmul 指令。算法结果与 FlashAttention 相同，属于同一数学语义下的实现级重写。,并行度 = batch × head × 序列块，而非仅 batch × head；非 matmul FLOP 与 matmul FLOP 在 Tensor Core 上的吞吐差异；warp 级工作划分决定 shared memory 通信量,直接决定 prefill 阶段的注意力实现效率；「小 batch 长序列时 SM 填不满」正是推理（而非训练）的典型工况，本文的并行划分改动比 FlashAttention 原文更贴近推理侧的占用率问题。,收益来源是 SM 占用率与 shared memory 往返，属于典型的「同样 FLOP、不同实现效率」问题；与本库模块 07 的 GPU 架构与占用率分析同一框架。,本库未读原文，论文自述的加速幅度一律未采信；该类 kernel 优化与具体 GPU 架构（SM 数量、shared memory 容量、Tensor Core 代际）强耦合，跨代际不可外推；decode 阶段单 token 的注意力是带宽受限的 GEMV 形态，本文针对的占用率问题在该形态下并非主要矛盾。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-007,Fast Transformer Decoding: One Write-Head is All You Need,"Shazeer, Noam",2019,arXiv preprint,https://arxiv.org/abs/1911.02150,待核实,KV Cache,multi-query attention,让所有注意力头共享同一份 K/V，把增量解码时需要反复读取的 KV cache 缩小到原来的 1/h（h 为头数）。,多头注意力中每个头各有一份 K/V 投影，增量解码时每步都要把全部头的 K/V 从显存读进来，读取量正比于头数。MQA 保留多份 Q 投影（表示能力主要来自 Q 的多样性），但只保留一份 K/V 投影供所有头共享。计算图形状不变，改变的是 K/V 的存储与读取规模。,KV cache 字节数 ∝ 头数 h；MQA 令 h_kv = 1；decode 的算术强度 I = 2/b_w 不变，但每 token 的 KV 读取量下降 h 倍,decode 阶段是带宽受限的，步时间 t = (W + B·S·k)/BW 中的 k（每 token 每层 KV 字节数）被直接压缩，从而同时降低 TPOT 与显存占用；按本库模块 07 的推导，k 变小会同时抬高 B_half 与 C_max，即批处理的收益区间被整体拉宽。,典型的「用模型结构换显存带宽」的做法，收益随 batch 与序列长度增大而增大，是 HBM 容量与带宽约束下的架构级应对。,本库未读原文，论文自述的质量损失与加速幅度均未采信；共享单一 K/V 头会降低表示能力，其代价随模型规模与任务而变；张量并行下 h_kv = 1 无法沿头维切分，须复制 K/V 或改变切分方式，这一系统代价在原文（2019 年，面向单机解码）中不构成主题。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-008,GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints,"Ainslie, Joshua; Lee-Thorp, James; de Jong, Michiel; Zemlyanskiy, Yury; Lebron, Federico; Sanghai, Sumit",2023,EMNLP 2023,https://arxiv.org/abs/2305.13245,待核实,KV Cache,grouped-query attention,在 MHA 与 MQA 之间引入可调的 KV 头数，并给出从已有 MHA 检查点「续训」得到该结构的方法，使 KV cache 压缩比成为一个设计旋钮而非二选一。,把 h 个查询头分成 g 组，每组共享一份 K/V，于是 h_kv = g：g = h 退化为 MHA，g = 1 退化为 MQA。论文同时给出 uptraining 路径——把已训练 MHA 检查点的 K/V 投影按组做均值池化后短暂续训，避免为推理效率单独训练一个模型。,KV cache 字节数 ∝ g 而非 h；压缩比 h/g；uptraining：由 MHA 检查点池化得到分组 K/V 投影,把「KV 压缩比」变成连续可调参数后，本库模块 07 的容量公式 C_max = (M_eff − W)/(S·k) 中的 k 可按 SLO 与并发目标反解，使 KV 结构成为容量规划的一部分；g 是当代主流开源模型的实际配置项。,g 同时决定张量并行下 K/V 能否沿头维整除切分，是模型结构与并行策略的耦合点；g ≥ 张量并行度时切分自然，否则需复制 K/V。,本库未读原文，质量与速度的具体数值一律未采信；uptraining 需要访问原始检查点与训练算力，不是纯推理侧改造；最优 g 依赖模型规模与任务，论文结论不宜跨模型族外推。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-009,Efficient Streaming Language Models with Attention Sinks,"Xiao, Guangxuan; Tian, Yuandong; Chen, Beidi; Han, Song; Lewis, Mike",2024,ICLR 2024,https://arxiv.org/abs/2309.17453,https://github.com/mit-han-lab/streaming-llm,KV Cache,固定预算 KV 驱逐,指出朴素滑动窗口在丢弃最初几个 token 后会崩溃，只要把这几个「attention sink」token 的 KV 永久保留，固定大小的 KV 预算即可支持无限长流式解码。,窗口注意力只保留最近 W 个 token 的 KV，一旦最初的 token 被逐出，困惑度急剧劣化。论文观察到 softmax 会把大量注意力质量分配给序列最开头的少数 token，这些 token 更像是注意力的「泄压阀」而非语义载体。据此提出保留「前若干 token + 最近窗口」的两段式 KV 预算，并对位置编码按缓存内位置重新编号。,softmax 的归一化约束迫使注意力质量必须落到某处，形成 attention sink；KV 预算 = 少量 sink token + 滑动窗口；位置按缓存内相对位置而非原始位置编码,把 KV cache 从「随生成长度线性增长」变成「常数上界」，对应本库模块 07 中 k·S 项被封顶，使多轮长对话的并发容量不再随会话时长坍缩。,是显存容量约束下的算法级应对，与 PagedAttention 的「提高显存利用率」正交：一个压缩需求，一个消除浪费。,本库未读原文，论文自述的困惑度与支持长度均未采信；被驱逐 token 的信息不可恢复——模型不会崩溃，但也无法回答依赖窗口外内容的问题，这与「支持无限长上下文」是两回事，工程上极易被混淆；对需要长程检索的任务不适用。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/02_transformer_inference_and_kv_cache_papers.md
P-010,Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve,"Agrawal, Amey; Kedia, Nitin; Panwar, Ashish; Mohan, Jayashree; Kwatra, Nipun; Gulavani, Bhargav S.; Tumanov, Alexey; Ramjee, Ramachandran",2024,OSDI 2024,https://arxiv.org/abs/2403.02310,https://github.com/microsoft/sarathi-serve,Serving and Scheduling,chunked prefill,把长 prefill 切成近似等长的块并与 decode 同批执行，消除 continuous batching 中「一个长 prompt 卡住所有 decode」的停顿。,continuous batching 在迭代边界重新组批，但一次迭代若包含完整长 prefill，该迭代耗时远超普通 decode 步，批内所有 decode 请求的 ITL 同步被拉长（generation stall）。Sarathi-Serve 把 prefill 按 token 预算切块，每次迭代只处理一块，并用剩余预算搭载 decode token，使每次迭代的耗时趋于均匀（stall-free schedule）。,每迭代 token 预算固定 → 迭代耗时方差下降 → ITL 尾延迟下降；prefill 是算力受限、decode 是带宽受限，混合批把两者填进同一次前向,直接对应本库模块 07 中 prefill/decode 干扰的量化：TPOT 的尾部主要由「同批里有多长的 prefill」决定，chunked prefill 是把该方差压回可控范围的主流手段，已被主流引擎默认启用。,混合批同时利用 Tensor Core（prefill 的 GEMM）与 HBM 带宽（decode 的 GEMV），是同一硬件上两种瓶颈资源的复用。,本库未读原文，论文自述的吞吐与延迟改善幅度未采信；块大小是新的调优旋钮——太小则 prefill 自身效率下降（每块都要重读权重），太大则停顿回归，最优值依赖 workload 的 prompt 长度分布；分块会改变注意力的分块边界，与部分 kernel 实现存在耦合。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
